municerca,date,tp,t2m,d2m,t2m_min,t2m_max,tp_anom,t2m_anom,d2m_anom,t2m_min_anom,t2m_max_anom
MUNICERCA 3,2021-06-25,0.01066659577190876,11.683020010390267,7.15823102116609,7.791020679747375,16.902948064008758,-0.48255382223675647,1.2488067217651873,2.4609988822210926,0.9344838145130008,2.550007525814315
MUNICERCA 3,2021-06-26,17.791673091937618,9.715136890264144,4.417908371843215,7.656069034660286,12.375527373379018,13.891647996075854,0.14782508411519224,0.2120013661093009,1.0162212156498682,-1.511414494025496
MUNICERCA 3,2021-06-27,1.4303717885565088,6.715596620453789,-2.8563579501522423,3.7342436022925174,9.537125796577385,-0.13532835832664827,-3.293512813038235,-5.421925810904586,-2.2633048189314406,-6.105487593179558
MUNICERCA 3,2021-06-28,0.014519691467285156,6.088161210223689,-2.3511744509124055,3.1773035636937514,10.222807107332436,-15.592145395817028,-3.514175673321234,-4.4849393145889005,-2.5767267911239573,-4.028026361634579
MUNICERCA 3,2021-06-29,0.003427267074584961,5.3298047831518485,-3.7096564930643745,-0.08734347869694928,11.797076361557814,-0.8757255816211303,-2.904526167691115,-2.919721158540855,-4.024427083297644,-1.7320638565411421
MUNICERCA 3,2021-06-30,0.027437197044491768,6.757852163314246,-0.7464253556810789,2.5676322042968134,13.248347244276891,0.00907524636067036,-1.3873574458233948,-0.7279866151097389,-1.4617569016059648,-0.5532993486050539
MUNICERCA 3,2021-07-01,0.002580880420282483,9.120062518324616,2.5603494407023066,5.288932644284732,15.03449967643069,-0.0053126616500473265,0.03456442376590117,-0.3161714473083539,1.1993310004045237,-0.8571242656266034
MUNICERCA 3,2021-07-02,0.0,9.598126001340992,2.4759242751373596,4.427162121598222,16.721244255675302,-0.06459700564284705,-1.337497549074049,-1.4078406514551494,-2.287722996674347,-0.4500692208871969
MUNICERCA 3,2021-07-03,0.03175893798470497,9.487253905170887,1.1772326969555904,3.514679411284953,17.102164260277384,0.016975379393746458,-1.3706528496407175,-1.7499934848694116,-2.689524554643866,0.15225310033814507
MUNICERCA 3,2021-07-04,0.023217493668198586,10.543382496959275,4.794197518688039,6.101015259461535,17.3398883810975,-0.01655155522748828,-1.409348052747076,0.24688489343881062,-1.4969068325523527,-1.1209161978955535
MUNICERCA 3,2021-07-05,0.0017206938937306404,11.091508832852208,6.348414770583416,4.721098157074902,19.037352076281877,-2.519290483349727,0.2592066015933916,1.396188576837485,-0.9571801089841262,2.031183456490212
MUNICERCA 3,2021-07-06,0.0,13.170006062125756,9.098263596865658,8.059911696789712,20.92120862600344,-0.9164641746630271,1.2905306592937242,1.9587635934748162,0.06061699192860256,3.4735903534340005
MUNICERCA 3,2021-07-07,141.3804660872228,14.579888393084198,11.716834208541748,11.507602928676121,18.85045685266203,106.30533914601563,3.0112448761198163,6.319480666690705,4.196509449943482,3.3239852272280035
MUNICERCA 3,2021-07-08,7.990502816597068,15.06109908013718,11.936990166057646,10.255963202478778,21.774779322437656,5.415808549350609,3.9330769815959186,6.969315047081477,3.51236239952739,4.965328367576546
MUNICERCA 3,2021-07-09,0.020175414704478575,18.82767391672523,10.478439301832893,15.625765713799119,24.60554253110413,-8.588283615056147,5.761289935020521,2.6142581011696437,6.216558221394603,6.013048498986077
MUNICERCA 3,2021-07-10,0.005510116009550471,14.247276702426044,4.011576026081074,10.836682937546184,18.53601276240433,-28.62378397343567,3.0586835108553396,-1.8486879679239165,2.821894797355212,2.977733004374815
MUNICERCA 3,2021-07-11,0.013830712339815976,9.988883501021226,-0.3597965448498423,5.017720590290262,17.486999254113755,-39.29565159506115,0.5182699472323007,-3.598287713468044,-1.305583310534392,3.659184177073825
MUNICERCA 3,2021-07-12,0.022336842492222786,13.96188867427909,8.298528775047256,9.093868807375774,20.712697375854486,-14.347649171203376,4.416355833126473,3.550548774140736,3.6311063562039,5.776755806844071
MUNICERCA 3,2021-07-13,0.8946044910301366,12.65931943456355,5.92262738992608,9.193760066990812,16.666123936221574,-0.19241185742786196,2.9452395459018472,2.587359973289932,2.913707034221714,2.151699294294489
MUNICERCA 3,2021-07-14,30.157256651472874,10.857534767803694,4.954286377973881,8.958137232282782,13.601400376820315,23.658043421020796,1.067428895119637,0.33493460418203835,3.2277783455640323,-1.795449530948781
MUNICERCA 3,2021-07-15,1.6690217301244434,9.52548788414261,2.619582266551593,3.9806124172343793,16.30209571775903,1.3020559152169255,-1.123436403017628,-3.0270814654472735,-2.390895015491315,-0.07229732152048472
MUNICERCA 3,2021-07-16,0.0008523463038727641,10.118752244919257,1.8585345541631364,5.824868616881646,17.090276620078786,-16.68187347262477,-0.10183021908695317,-2.8628856835899903,-1.3037372045159241,2.236690465564898
