WKT;ENTITYID;PAR_IDPARC;NOMENCLATU;NUM_PARC;NRO_CUENTA;DESIG_OFIC;FXF;VUT_VIGENT;VALUACION;VIGENCIA_D;PORCENTAJE;SUPERFICIE;VALUACION2;SUPERFICI1;VALUACION1;CANTIDAD_C;NRO_CUENT2;PED_NOMENC
"MULTIPOLYGON (((-63.2464542062785 -32.3896140203876,-63.2463648547787 -32.3895565155327,-63.2462061141011 -32.3897380879021,-63.2462958479318 -32.3897948294152,-63.2464542062785 -32.3896140203876)))";"150105811";"2003533";"1604220202218005";"005";BALDIO;MZ 218  LT05;1.000000000000000;1820.00000;473200.0000000;"0";0.0000000;260.00000;473200.0000;0.0000;0.0000;"1";"160424953072";"1604"
"MULTIPOLYGON (((-63.215967807843 -32.4134950163252,-63.2160317474227 -32.4134207936315,-63.215989818078 -32.413390994833,-63.215945574046 -32.4133657087685,-63.2158382278964 -32.4134873479795,-63.2157732894743 -32.4135607268887,-63.2157534106181 -32.4135833048328,-63.21584257866 -32.4136403572872,-63.2159048620997 -32.4135681100878,-63.215967807843 -32.4134950163252)))";"1374400";"796896";"1604220302366023";"023";EDIFICADO NoPH;MZ 26 LT 9;1.000000000000000;1540.00000;1941272.9600000;"0";0.0000000;300.00000;462000.0000;131.0000;1479272.9600;"1";"160421437057";"1604"
"MULTIPOLYGON (((-63.2589164090833 -32.3917557404732,-63.2588261487863 -32.3917014518095,-63.2586847797484 -32.3918706541733,-63.2587750401306 -32.3919249429363,-63.2589164090833 -32.3917557404732)))";"269959572";"2104988";"1604220202264011";"011";BALDIO;MZ 264 LT 11;1.100000000000000;1890.00000;497774.9700000;"0";0.0000000;239.43000;497774.9700;0.0000;0.0000;"1";"160440209171";"1604"
"MULTIPOLYGON (((-63.2197701383822 -32.3993181738702,-63.2195262888141 -32.3991619183458,-63.2194630223081 -32.3992344509784,-63.2197068719638 -32.3993907066231,-63.2197917036065 -32.3994449460061,-63.2198346194078 -32.3994727693024,-63.2198988836161 -32.3994007983445,-63.2198549706773 -32.3993726950096,-63.2197701383822 -32.3993181738702)))";"1369360";"788299";"1604220301152007";"007";BALDIO;I   016;0.900000000000000;1330.00000;524286.0000000;"0";0.0000000;438.00000;524286.0000;0.0000;0.0000;"1";"160430941809";"1604"
"MULTIPOLYGON (((-63.2087901425894 -32.4254900361122,-63.2092689115315 -32.4254864237699,-63.209268709812 -32.4253990666188,-63.208923171097 -32.4254010490992,-63.2088936013277 -32.4254013799304,-63.2088421029325 -32.425401747107,-63.2087896077811 -32.4254021159146,-63.2087901425894 -32.4254900361122)))";"1379633";"793708";"1604220302170028";"028";BALDIO;MZ 20 LT A;0.800000000000000;1120.00000;404992.0000000;"0";0.0000000;452.00000;404992.0000;0.0000;0.0000;"1";"160419176238";"1604"
"MULTIPOLYGON (((-63.2372259377861 -32.4130073198262,-63.2372103720323 -32.4130256660429,-63.2373072039948 -32.4130866340322,-63.2373244270817 -32.4130668756893,-63.2374121938396 -32.4129644174446,-63.2374830740235 -32.4128834076629,-63.2375556128915 -32.4128015493177,-63.2375156840613 -32.4127771081008,-63.2374591125357 -32.4127402990925,-63.2373885609574 -32.4128198992498,-63.2373478192256 -32.4128656273811,-63.2373166863344 -32.4129017562482,-63.2372855541559 -32.4129381669046,-63.2372699876886 -32.4129562313312,-63.2372259377861 -32.4130073198262)))";"1381382";"784468";"1604220301025032";"032";EDIFICADO NoPH;MZ 27 LT 14;0.900000000000000;12180.00000;7170063.7600000;"0";0.0000000;437.00000;4790394.0000;331.0000;2379669.7600;"1";"160415543261";"1604"
"MULTIPOLYGON (((-63.2232943207654 -32.4115435192551,-63.2233969905609 -32.4116077417772,-63.2235682570343 -32.4114173863803,-63.2234656195176 -32.4113531282263,-63.2232943207654 -32.4115435192551)))";"107293410";"2082711";"1604220302390009";"009";EDIFICADO NoPH;MZ 390 LT 9;1.200000000000000;2310.00000;3677101.2800000;"0";0.0000000;319.00000;884268.0000;158.0000;2792833.2800;"1";"160425766683";"1604"
"MULTIPOLYGON (((-63.2258755281369 -32.4065225672663,-63.2258960644829 -32.4064988593361,-63.2257386974832 -32.4064007934457,-63.2256697999811 -32.4064798205757,-63.2258265054861 -32.4065790149323,-63.2258755281369 -32.4065225672663)))";"1381482";"787315";"1604220301111012";"012";EDIFICADO NoPH;002 001;1.100000000000000;2170.00000;1808029.8000000;"0";0.0000000;203.00000;484561.0000;99.0000;1323468.8000;"1";"160430942571";"1604"
"MULTIPOLYGON (((-63.1871442222001 -32.4387994374375,-63.1878280152648 -32.4384377182938,-63.1875560922416 -32.4380681228115,-63.1868723008657 -32.4384298404938,-63.1871442222001 -32.4387994374375)))";"1380901";"795747";"1604220302276001";"001";BALDIO;MZ F LTS 1/12;0.500000000000000;980.00000;1793890.0000000;"0";0.0000000;3661.00000;1793890.0000;0.0000;0.0000;"1";"160408027591";"1604"
"MULTIPOLYGON (((-63.2368491477995 -32.4043328505445,-63.2366997486639 -32.4042361923507,-63.2366345030636 -32.4043101462297,-63.236773913482 -32.4043978056965,-63.2368980191119 -32.4044759126093,-63.236936107296 -32.4044330075519,-63.2369609474929 -32.4044050627426,-63.2368491477995 -32.4043328505445)))";"692903202";"776812";"1604220201066035";"035";EDIFICADO NoPH;MZ E LT B;1.000000000000000;4480.00000;1703248.6400000;"0";0.0000000;303.00000;1357440.0000;121.0000;345808.6400;"1";"160417083747";"1604"
