WKT;gid
"MULTILINESTRING ((-63.2603734956631 -32.413012328668,-63.2614668393735 -32.4137069409974,-63.2614781289262 -32.413714221786))";"197"
"MULTILINESTRING ((-63.2603734956631 -32.413012328668,-63.2595479355954 -32.413945905451))";"198"
"MULTILINESTRING ((-63.2595479355954 -32.413945905451,-63.2600199593003 -32.4142490040608))";"199"
"MULTILINESTRING ((-63.2633395004021 -32.4135083524365,-63.2625882058939 -32.4143695742751))";"200"
"MULTILINESTRING ((-63.2614781289262 -32.413714221786,-63.2624954838357 -32.4143614592382,-63.2625882058939 -32.4143695742751))";"201"
"MULTILINESTRING ((-63.2600199593003 -32.4142490040608,-63.2606475938204 -32.4146534970336))";"202"
"MULTILINESTRING ((-63.2614781289262 -32.413714221786,-63.2606475938204 -32.4146534970336))";"203"
"MULTILINESTRING ((-63.2595479355954 -32.413945905451,-63.2587301602061 -32.4148938888325))";"204"
"MULTILINESTRING ((-63.2625882058939 -32.4143695742751,-63.2618839280676 -32.4151581706194))";"205"
"MULTILINESTRING ((-63.2600199593003 -32.4142490040608,-63.2591904045019 -32.4152035073186))";"206"
"MULTILINESTRING ((-63.2606475938204 -32.4146534970336,-63.2617322961794 -32.4153324381039))";"207"
"MULTILINESTRING ((-63.2606475938204 -32.4146534970336,-63.2598925492389 -32.4155409924629))";"208"
"MULTILINESTRING ((-63.2591904045019 -32.4152035073186,-63.2594773530677 -32.4153965234908,-63.2598925492389 -32.4155409924629))";"209"
"MULTILINESTRING ((-63.2618839280676 -32.4151581706194,-63.262855441817 -32.4157668159596))";"210"
"MULTILINESTRING ((-63.2618839280676 -32.4151581706194,-63.2611796251267 -32.4159676046277))";"211"
"MULTILINESTRING ((-63.2598925492389 -32.4155409924629,-63.2601040291934 -32.4156184844067,-63.2611796251267 -32.4159676046277))";"212"
"MULTILINESTRING ((-63.2611796251267 -32.4159676046277,-63.2621382153388 -32.4165908906179))";"213"
"MULTILINESTRING ((-63.262855441817 -32.4157668159596,-63.2621382153388 -32.4165908906179))";"214"
"MULTILINESTRING ((-63.2621382153388 -32.4165908906179,-63.2631041148843 -32.4172006276347))";"215"
"MULTILINESTRING ((-63.2621382153388 -32.4165908906179,-63.2614142496657 -32.4174150261013))";"216"
"MULTILINESTRING ((-63.2631041148843 -32.4172006276347,-63.2623653120153 -32.4180295277772))";"217"
"MULTILINESTRING ((-63.2623653120153 -32.4180295277772,-63.2628895337863 -32.4183582066392))";"218"
"MULTILINESTRING ((-63.2623653120153 -32.4180295277772,-63.2619913287292 -32.4184009438599))";"219"
"MULTILINESTRING ((-63.2628895337863 -32.4183582066392,-63.2622147389976 -32.4191016441243))";"220"
"MULTILINESTRING ((-63.2633175062574 -32.4186691045176,-63.2622933869315 -32.4198098304037))";"221"
"MULTILINESTRING ((-63.2592889598248 -32.4084028975736,-63.2603898016011 -32.4091026445314))";"222"
"MULTILINESTRING ((-63.260809108244 -32.4086404392386,-63.2603898016011 -32.4091026445314))";"223"
"MULTILINESTRING ((-63.2603898016011 -32.4091026445314,-63.2609639355597 -32.4094714472052))";"224"
"MULTILINESTRING ((-63.2588736957013 -32.4088685162134,-63.2599815411499 -32.4095631122841))";"225"
"MULTILINESTRING ((-63.2603898016011 -32.4091026445314,-63.2599815411499 -32.4095631122841))";"226"
"MULTILINESTRING ((-63.2599815411499 -32.4095631122841,-63.2597610408756 -32.4098126318824))";"227"
"MULTILINESTRING ((-63.2597610408756 -32.4098126318824,-63.260764097656 -32.4098816185937))";"228"
"MULTILINESTRING ((-63.2597610408756 -32.4098126318824,-63.2596279524095 -32.40996196634))";"229"
"MULTILINESTRING ((-63.260764097656 -32.4098816185937,-63.2606891891837 -32.4106332965649))";"230"
"MULTILINESTRING ((-63.2596279524095 -32.40996196634,-63.2606891891837 -32.4106332965649))";"231"
"MULTILINESTRING ((-63.2596279524095 -32.40996196634,-63.2589600709073 -32.4107129699257))";"232"
"MULTILINESTRING ((-63.2606891891837 -32.4106332965649,-63.2618487380471 -32.411366093543))";"233"
"MULTILINESTRING ((-63.2589600709073 -32.4107129699257,-63.2600517219745 -32.4114239201548))";"234"
"MULTILINESTRING ((-63.2606891891837 -32.4106332965649,-63.2606665557873 -32.4106998066249,-63.2600517219745 -32.4114239201548))";"235"
"MULTILINESTRING ((-63.2618487380471 -32.411366093543,-63.2618404567965 -32.4114444731857,-63.2612114826755 -32.4121610667421))";"236"
"MULTILINESTRING ((-63.2600517219745 -32.4114239201548,-63.2612114826755 -32.4121610667421))";"237"
"MULTILINESTRING ((-63.2600517219745 -32.4114239201548,-63.2592774765002 -32.4123056287091))";"238"
"MULTILINESTRING ((-63.2612114826755 -32.4121610667421,-63.2622828878034 -32.4128370353781))";"239"
"MULTILINESTRING ((-63.2612114826755 -32.4121610667421,-63.2611191269821 -32.4121774030483,-63.2603734956631 -32.413012328668))";"240"
"MULTILINESTRING ((-63.2604596517114 -32.4047385425496,-63.2600368792452 -32.4052097716282))";"241"
"MULTILINESTRING ((-63.2603686819201 -32.4068963035187,-63.2605100120091 -32.4069875082894))";"242"
