id,paradas,linea,lon,lat
paradas_omnibus.279,reyno y catamarca,12,-63.2284648,-32.3983443
paradas_omnibus.280,Int. Reyno-Bs. As.,12,-63.2267726,-32.4001996
paradas_omnibus.281,bsas y monteagudo,12,-63.2245782,-32.3991876
paradas_omnibus.282,Bs. As. - M. Gilli,12,-63.2214162,-32.3971192
paradas_omnibus.283,ferrary y catamarca,12,-63.2224614,-32.3949873
paradas_omnibus.284,catamarca y sarno,12,-63.2235594,-32.3953502
paradas_omnibus.285,sarno y bsas,12,-63.2221281,-32.3972719
paradas_omnibus.286,Brandsen-Entre Rios,12,-63.225898,-32.4019638
paradas_omnibus.287,mendoza y gorriti,12,-63.22266,-32.4026749
paradas_omnibus.288,perazzolo y tucuman,12,-63.2199027,-32.4018959
paradas_omnibus.289,Perazzolo y santiago,12,-63.2181565,-32.4038004
paradas_omnibus.290,sarmiento y perazzolo,12,-63.2173099,-32.4051836
paradas_omnibus.291,sarmiento y gorriti,12,-63.2191984,-32.4063874
paradas_omnibus.292,brandsen y santiago,12,-63.2216177,-32.4063392
paradas_omnibus.293,brandsen y mendoza,12,-63.2240166,-32.4036843
paradas_omnibus.294,mendoza y 17 de agosto,12,-63.2266765,-32.4050357
paradas_omnibus.295,mendoza y ruta pesada,12,-63.2287186,-32.4063701
paradas_omnibus.296,Bs. As.-Int. Peña,12,-63.2320745,-32.4038568
paradas_omnibus.297,bsas y planes,12,-63.2354701,-32.4060276
paradas_omnibus.298,Bs. As-España,12,-63.2387726,-32.408118
paradas_omnibus.299,Bv. España-Catamarca,12,-63.2410489,-32.406495
paradas_omnibus.300,catamarca y lisandro,12,-63.2433461,-32.4079274
paradas_omnibus.301,,13,-63.2462176,-32.4100772
paradas_omnibus.302,,13,-63.2430406,-32.409523
paradas_omnibus.303,,13,-63.2430715,-32.4077386
paradas_omnibus.304,,13,-63.2418846,-32.4057345
paradas_omnibus.305,,13,-63.2382181,-32.403436
paradas_omnibus.306,,13,-63.235949,-32.401973
paradas_omnibus.307,,13,-63.2330361,-32.400116
paradas_omnibus.308,,13,-63.228082,-32.3982468
paradas_omnibus.309,,13,-63.2245361,-32.3991527
paradas_omnibus.310,,13,-63.2214569,-32.3971303
paradas_omnibus.311,,13,-63.2224933,-32.3949648
paradas_omnibus.312,,13,-63.2235273,-32.3953486
paradas_omnibus.313,,13,-63.226065,-32.3968547
paradas_omnibus.314,,13,-63.2296252,-32.3966569
paradas_omnibus.315,,13,-63.2323369,-32.3935926
paradas_omnibus.316,,13,-63.2335534,-32.3922458
paradas_omnibus.317,,13,-63.2361282,-32.3929841
paradas_omnibus.318,,13,-63.2409656,-32.3947167
paradas_omnibus.319,,13,-63.2379588,-32.4016377
paradas_omnibus.320,,13,-63.2428351,-32.4046621
paradas_omnibus.321,,13,-63.2447207,-32.4059042
paradas_omnibus.322,,13,-63.2468396,-32.4072584
