WKT;gid
"MULTILINESTRING ((-63.2666091703849 -32.4113716218779,-63.2665221286422 -32.4123916007675))";"129"
"MULTILINESTRING ((-63.2665221286422 -32.4123916007675,-63.267726895765 -32.4124656960077))";"130"
"MULTILINESTRING ((-63.2678192216251 -32.4114397535268,-63.267726895765 -32.4124656960077))";"131"
"MULTILINESTRING ((-63.2666091703849 -32.4113716218779,-63.2678192216251 -32.4114397535268))";"132"
"MULTILINESTRING ((-63.267726895765 -32.4124656960077,-63.2690177777547 -32.412541579767))";"133"
"MULTILINESTRING ((-63.2691069052029 -32.4115110123812,-63.2690177777547 -32.412541579767))";"134"
"MULTILINESTRING ((-63.2678192216251 -32.4114397535268,-63.2691069052029 -32.4115110123812))";"135"
"MULTILINESTRING ((-63.2692018460396 -32.4104110610001,-63.2691069052029 -32.4115110123812))";"136"
"MULTILINESTRING ((-63.2691069052029 -32.4115110123812,-63.2698108075224 -32.4115375836717))";"137"
"MULTILINESTRING ((-63.2698108075224 -32.4115375836717,-63.2697212161967 -32.4125818272945))";"138"
"MULTILINESTRING ((-63.2698108075224 -32.4115375836717,-63.269898633156 -32.4104546550693))";"139"
"MULTILINESTRING ((-63.2707308425676 -32.4115984627085,-63.2706286047446 -32.4126404797157))";"140"
"MULTILINESTRING ((-63.2698108075224 -32.4115375836717,-63.2707308425676 -32.4115984627085))";"141"
"MULTILINESTRING ((-63.2707308425676 -32.4115984627085,-63.2713464686409 -32.4116393406968))";"142"
"MULTILINESTRING ((-63.2713464686409 -32.4116393406968,-63.2712682647183 -32.4126819376661))";"143"
"MULTILINESTRING ((-63.2714612054692 -32.4105499539065,-63.2713464686409 -32.4116393406968))";"144"
"MULTILINESTRING ((-63.2713464686409 -32.4116393406968,-63.2725686179144 -32.4117336417271))";"145"
"MULTILINESTRING ((-63.2646846411886 -32.4019035454818,-63.2627316419979 -32.4021720269232))";"146"
"MULTILINESTRING ((-63.2655041990502 -32.4101949099025,-63.2667042281412 -32.4102585646625))";"147"
"MULTILINESTRING ((-63.2667042281412 -32.4102585646625,-63.2679169122906 -32.4103233533654))";"148"
"MULTILINESTRING ((-63.2679169122906 -32.4103233533654,-63.2692018460396 -32.4104110610001))";"149"
"MULTILINESTRING ((-63.2692018460396 -32.4104110610001,-63.2710484658609 -32.4105265851437))";"150"
"MULTILINESTRING ((-63.2630892665875 -32.4100320679728,-63.2629765352772 -32.4111510209326))";"151"
"MULTILINESTRING ((-63.2642987130863 -32.4101185404033,-63.2641920010013 -32.4112186350806))";"152"
"MULTILINESTRING ((-63.2655041990502 -32.4101949099025,-63.2653924047467 -32.4112970001067))";"153"
"MULTILINESTRING ((-63.2667042281412 -32.4102585646625,-63.2666091703849 -32.4113716218779))";"154"
"MULTILINESTRING ((-63.2679169122906 -32.4103233533654,-63.2678192216251 -32.4114397535268))";"155"
"MULTILINESTRING ((-63.2669249192724 -32.4145939154886,-63.2662683629985 -32.415355032837))";"156"
"MULTILINESTRING ((-63.2662683629985 -32.415355032837,-63.2672269673185 -32.415973500756))";"157"
"MULTILINESTRING ((-63.2672269473116 -32.4159667131457,-63.2664872140283 -32.4167883352328))";"158"
"MULTILINESTRING ((-63.2676281652816 -32.4137715565367,-63.2669249192724 -32.4145939154886))";"159"
"MULTILINESTRING ((-63.266434158213 -32.4134217712315,-63.2676492458736 -32.413494222178))";"160"
"MULTILINESTRING ((-63.2676492458736 -32.413494222178,-63.2676281652816 -32.4137715565367))";"161"
"MULTILINESTRING ((-63.267726895765 -32.4124656960077,-63.2676492458736 -32.413494222178))";"162"
"MULTILINESTRING ((-63.2672269673185 -32.415973500756,-63.2676157998398 -32.4162136516937))";"163"
"MULTILINESTRING ((-63.2678875471373 -32.4152081316983,-63.2672269673185 -32.415973500756))";"164"
"MULTILINESTRING ((-63.2669249192724 -32.4145939154886,-63.2678875471373 -32.4152081316983))";"165"
"MULTILINESTRING ((-63.2676281652816 -32.4137715565367,-63.2686106776334 -32.4143887910454))";"166"
"MULTILINESTRING ((-63.2686106776334 -32.4143887910454,-63.2678875471373 -32.4152081316983))";"167"
"MULTILINESTRING ((-63.2678875471373 -32.4152081316983,-63.2686547047389 -32.4156856005234))";"168"
